Date,Time,Open,High,Low,Close,Tick volume,Mid_price,Price_range,Hour
2023-04-28,14:00:00,319.836,321.837,319.376,321.817,11934,320.6065,2.461,14
2023-04-28,14:30:00,321.827,321.857,319.466,319.816,12559,320.6615,2.391,14
2023-04-28,15:00:00,319.827,320.117,319.207,319.966,11109,319.662,0.91,15
2023-04-28,15:30:00,319.967,321.017,319.947,320.926,7777,320.482,1.07,15
2023-04-28,16:00:00,320.957,321.367,320.476,320.977,6217,320.9215,0.891,16
2023-04-28,16:30:00,320.976,321.707,320.486,321.656,5499,321.0965,1.221,16
2023-04-28,17:00:00,321.646,321.816,321.096,321.676,5580,321.456,0.72,17
2023-04-28,17:30:00,321.687,321.737,321.006,321.457,5708,321.3715,0.731,17
2023-04-28,18:00:00,321.476,321.867,321.086,321.497,6410,321.4765,0.781,18
2023-04-28,18:30:00,321.496,321.716,321.096,321.667,5817,321.406,0.62,18
2023-04-28,19:00:00,321.667,322.197,321.576,321.726,4876,321.8865,0.621,19
2023-04-28,19:30:00,321.717,322.617,321.416,322.616,6760,322.0165,1.201,19
2023-05-01,13:30:00,322.076,322.767,321.736,322.337,12792,322.2515,1.031,13
2023-05-01,14:00:00,322.296,322.497,321.596,321.787,12287,322.0465,0.901,14
2023-05-01,14:30:00,321.777,322.716,321.546,322.646,9006,322.131,1.17,14
2023-05-01,15:00:00,322.656,322.867,321.086,321.297,7960,321.9765,1.781,15
2023-05-01,15:30:00,321.307,322.006,321.177,321.996,7652,321.5915,0.829,15
2023-05-01,16:00:00,322.006,322.597,321.936,322.557,5804,322.2665,0.661,16
2023-05-01,16:30:00,322.556,323.297,322.556,323.206,5744,322.9265,0.741,16
2023-05-01,17:00:00,323.196,323.447,323.066,323.107,5442,323.2565,0.381,17
2023-05-01,17:30:00,323.107,323.597,322.986,323.276,5962,323.2915,0.611,17
2023-05-01,18:00:00,323.276,323.357,322.577,322.716,5173,322.967,0.78,18
2023-05-01,18:30:00,322.707,322.707,321.747,322.456,6129,322.227,0.96,18
2023-05-01,19:00:00,322.457,322.546,322.046,322.267,5934,322.296,0.5,19
2023-05-01,19:30:00,322.266,322.576,321.736,322.176,7089,322.156,0.84,19
2023-05-02,13:30:00,322.106,322.437,321.296,321.817,14480,321.8665,1.141,13
2023-05-02,14:00:00,321.826,322.147,319.656,319.986,13501,320.9015,2.491,14
2023-05-02,14:30:00,319.976,319.986,318.206,318.336,13220,319.096,1.78,14
2023-05-02,15:00:00,318.326,318.437,317.717,318.146,11525,318.077,0.72,15
2023-05-02,15:30:00,318.136,318.796,317.637,317.917,9953,318.2165,1.159,15
2023-05-02,16:00:00,317.907,318.657,317.696,318.647,8334,318.1765,0.961,16
2023-05-02,16:30:00,318.637,319.217,318.596,319.076,6607,318.9065,0.621,16
2023-05-02,17:00:00,319.076,319.567,318.926,319.436,5798,319.2465,0.641,17
2023-05-02,17:30:00,319.427,320.266,319.296,319.836,5762,319.781,0.97,17
2023-05-02,18:00:00,319.846,319.887,318.966,319.216,7226,319.4265,0.921,18
2023-05-02,18:30:00,319.216,319.907,319.086,319.876,6870,319.4965,0.821,18
2023-05-02,19:00:00,319.876,320.247,319.426,319.756,6231,319.8365,0.821,19
2023-05-02,19:30:00,319.766,319.777,319.036,319.366,6488,319.4065,0.741,19
2023-05-03,13:30:00,319.706,320.787,319.466,320.547,14090,320.1265,1.321,13
2023-05-03,14:00:00,320.546,320.767,319.617,319.637,12866,320.192,1.15,14
2023-05-03,14:30:00,319.627,320.356,319.606,319.746,10393,319.981,0.75,14
2023-05-03,15:00:00,319.736,319.847,319.256,319.437,8072,319.5515,0.591,15
2023-05-03,15:30:00,319.456,320.156,319.197,320.097,6901,319.6765,0.959,15
2023-05-03,16:00:00,320.096,320.126,319.466,320.066,5850,319.796,0.66,16
2023-05-03,16:30:00,320.076,320.407,319.726,320.397,4872,320.0665,0.681,16
2023-05-03,17:00:00,320.406,320.557,319.856,320.436,6517,320.2065,0.701,17
2023-05-03,17:30:00,320.446,320.566,320.096,320.306,4681,320.331,0.47,17
2023-05-03,18:00:00,320.307,321.957,319.327,321.307,14820,320.642,2.63,18
2023-05-03,18:30:00,321.316,322.347,319.017,320.897,18890,320.682,3.33,18
2023-05-03,19:00:00,320.877,321.587,317.867,317.906,18132,319.727,3.72,19
2023-05-03,19:30:00,317.896,318.097,317.166,317.327,13431,317.6315,0.931,19
2023-05-04,13:30:00,317.056,317.127,315.716,316.056,16479,316.4215,1.411,13
2023-05-04,14:00:00,316.067,316.667,315.186,315.276,15035,315.9265,1.481,14
2023-05-04,14:30:00,315.267,316.626,315.107,316.126,15131,315.8665,1.519,14
2023-05-04,15:00:00,316.127,317.647,316.006,316.766,12595,316.8265,1.641,15
2023-05-04,15:30:00,316.766,317.097,315.906,316.267,10341,316.5015,1.191,15
2023-05-04,16:00:00,316.257,316.907,315.806,316.897,8348,316.3565,1.101,16
2023-05-04,16:30:00,316.907,317.257,316.287,317.247,7524,316.772,0.97,16
2023-05-04,17:00:00,317.247,318.037,316.986,317.667,9352,317.5115,1.051,17
2023-05-04,17:30:00,317.667,318.227,317.236,317.676,9757,317.7315,0.991,17
2023-05-04,18:00:00,317.687,317.746,316.556,316.567,7978,317.151,1.19,18
2023-05-04,18:30:00,316.546,316.857,316.097,316.507,7653,316.477,0.76,18
2023-05-04,19:00:00,316.497,317.256,316.006,316.537,7227,316.631,1.25,19
2023-05-04,19:30:00,316.546,317.276,315.996,316.227,7921,316.636,1.28,19
2023-05-05,13:30:00,318.426,319.756,318.086,319.697,14596,318.921,1.67,13
2023-05-05,14:00:00,319.717,320.916,319.717,320.727,9950,320.3165,1.199,14
2023-05-05,14:30:00,320.737,321.757,320.686,321.307,8878,321.2215,1.071,14
2023-05-05,15:00:00,321.316,321.677,320.916,321.656,7424,321.2965,0.761,15
2023-05-05,15:30:00,321.656,321.687,321.067,321.297,5668,321.377,0.62,15
2023-05-05,16:00:00,321.326,321.427,320.876,321.106,5439,321.1515,0.551,16
2023-05-05,16:30:00,321.097,321.637,320.856,321.596,5434,321.2465,0.781,16
2023-05-05,17:00:00,321.607,322.036,321.546,322.017,3939,321.791,0.49,17
2023-05-05,17:30:00,322.036,322.457,322.016,322.447,3351,322.2365,0.441,17
2023-05-05,18:00:00,322.456,322.927,322.216,322.806,3699,322.5715,0.711,18
2023-05-05,18:30:00,322.816,323.736,322.746,323.466,3757,323.241,0.99,18
2023-05-05,19:00:00,323.487,323.606,322.886,323.317,4120,323.246,0.72,19
2023-05-05,19:30:00,323.327,323.396,322.607,322.916,5461,323.0015,0.789,19
2023-05-08,13:30:00,322.357,322.616,321.446,321.686,11446,322.031,1.17,13
2023-05-08,14:00:00,321.697,322.147,321.507,321.696,9397,321.827,0.64,14
2023-05-08,14:30:00,321.707,322.337,321.306,322.127,9140,321.8215,1.031,14
2023-05-08,15:00:00,322.147,322.627,322.086,322.147,6960,322.3565,0.541,15
2023-05-08,15:30:00,322.147,322.947,321.906,322.916,5720,322.4265,1.041,15
2023-05-08,16:00:00,322.927,322.987,322.577,322.777,5344,322.782,0.41,16
2023-05-08,16:30:00,322.787,323.097,322.616,323.046,4859,322.8565,0.481,16
2023-05-08,17:00:00,323.056,323.426,322.806,323.346,4213,323.116,0.62,17
2023-05-08,17:30:00,323.357,323.727,323.356,323.497,4237,323.5415,0.371,17
2023-05-08,18:00:00,323.506,323.567,322.136,323.366,7107,322.8515,1.431,18
2023-05-08,18:30:00,323.376,324.036,323.356,323.887,4912,323.696,0.68,18
2023-05-08,19:00:00,323.896,323.977,323.287,323.436,4930,323.632,0.69,19
2023-05-08,19:30:00,323.397,323.927,323.317,323.716,5286,323.622,0.61,19
2023-05-09,13:30:00,321.986,322.726,321.846,322.666,13247,322.286,0.88,13
2023-05-09,14:00:00,322.686,322.876,321.856,322.026,9965,322.366,1.02,14
